user_id, "artistname", "trackname", "playlistname";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Elvis Costello","(The Angels Wanna Wear My) Red Shoes","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Elvis Costello & The Attractions","(What's So Funny 'Bout) Peace, Love And Understanding","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Tiffany Page","7 Years Too Late","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Elvis Costello & The Attractions","Accidents Will Happen","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Elvis Costello","Alison","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Lissie","All Be Okay","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Paul McCartney","Band On The Run","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Joe Echo","Beautiful","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Paul McCartney","Blackbird - Live at CitiField, NYC - Digital Audio","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Lissie","Bright Side","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"The Breakers","Dance The Go-Go","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Paul McCartney","Dance Tonight","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"The Coronas","Decision Time","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Crowded House","Don't Dream It's Over","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Lissie","Everywhere I Go","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Crowded House","Fall At Your Feet","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Crowded House","Four Seasons In One Day","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Joshua Radin","Friend Like You","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"The Breakers","Get Lost Get High Get Sick","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Cocktail Slippers","Goodtimes","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Crosby, Stills & Nash","Helplessly Hoping","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Lissie","Here Before","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Cocktail Slippers","Here We Go","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Tiffany Page","I Am The Blaze","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"The Len Price 3","I Don't Believe You","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Joshua Radin","I'd Rather Be With You [Radio Edit]","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"The Len Price 3","If You Live Round Here","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Lissie","In Sleep","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Cocktail Slippers","In The City","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Joe Echo","In You Are All The Stories","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"The Len Price 3","Keep Your Eyes On Me","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Joe Echo","Lie To Me","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Lissie","Little Lovin'","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Paul McCartney","Live And Let Die","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"The Len Price 3","Man Who Used To Be","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Cocktail Slippers","Mastermind","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Crowded House","Nobody Wants To","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Crowded House","Not The Girl You Think You Are","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Lissie","Oh Mississippi","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Elvis Costello & The Attractions","Oliver's Army","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Joe Echo","On All My Sundays - Liam Shachar Radio Mix","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Joe Echo","On All My Sundays - Liam Shachar Remix","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Joshua Radin","Only You","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Tiffany Page","Out Of My Mind","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Joe Echo","Personal Alcatraz","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Joe Echo","Phoenix In Dynamite Sky","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"The Len Price 3","Pictures","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"The Len Price 3","Sailor's Sweetheart","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"The Coronas","San Diego Song","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Cocktail Slippers","Sentenced To Love","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Crosby, Stills & Nash","Southern Cross","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Cocktail Slippers","St. Valentine's Day Massacre","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Joe Echo","The Darker It Gets","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"The Len Price 3","The Girl Who Became a Machine","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Joe Echo","The World It Still Revolves - Garage Demo","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Joe Echo","This Is The World We Live In","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Elvis Costello","Tramp The Dirt Down","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"The Breakers","Tried So Hard","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Crosby, Stills & Nash","Unequal Love","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Tiffany Page","Walk Away Slow","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Crowded House","Weather With You","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Lissie","Wedding Bells","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Joshua Radin","What If You","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Joe Echo","What Skin Is All About","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Paul McCartney & Eric Clapton","While My Guitar Weeps","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Joshua Radin","Winter","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Cocktail Slippers","You Do Run","HARD ROCK 2010";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Noah And The Whale","5 Years Time","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Noel Gallagher's High Flying Birds","AKA... What A Life!","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Pearl Jam","Alive","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Tom Petty And The Heartbreakers","American Girl","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Bruce Springsteen","Atlantic City","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Madness","Baggy Trousers","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Pearl Jam","Black","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Bruce Springsteen","Born to Run","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Spector","Chevy Thunder","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Miles Kane","Come Closer","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Bruce Springsteen","Death To My Hometown","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Pearl Jam","Even Flow","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Noel Gallagher's High Flying Birds","Everybody's On the Run","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Miles Kane","First of My Kind","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Tom Petty","Free Fallin'","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Biffy Clyro","God & Satan","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Elbow","Grounds For Divorce","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Madness","House Of Fun","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Miles Kane","Inhaler","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Madness","It Must Be Love","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Pearl Jam","Just Breathe","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Noah And The Whale","L.I.F.E.G.O.E.S.O.N.","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Tom Petty And The Heartbreakers","Learning To Fly","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Oasis","Little By Little","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Biffy Clyro","Many Of Horror","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Biffy Clyro","Mountains","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Elbow","One Day Like This","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Madness","Our House","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Bruce Springsteen","Queen Of The Supermarket","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Thunderclap Newman","Something In The Air - Single Version","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Biffy Clyro","The Captain","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Thunderclap Newman","The Reason","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Bruce Springsteen","The River","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Bruce Springsteen","We Take Care Of Our Own","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Bruce Springsteen","Wrecking Ball","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Pearl Jam","Yellow Ledbetter","IOW 2012";;;;
9cc0cfd4d7d7885102480dd99e7a90d6,"Elbow","the birds","IOW 2012";;;;
07f0fc3be95dcd878966b1f9572ff670,"2080","1 Up","2080";;;;
07f0fc3be95dcd878966b1f9572ff670,"2080","Extra Life","2080";;;;
07f0fc3be95dcd878966b1f9572ff670,"2080","Heart Shaped Pixel","2080";;;;
07f0fc3be95dcd878966b1f9572ff670,"2080","Live Die 5 Continues","2080";;;;
07f0fc3be95dcd878966b1f9572ff670,"2080","Maximized","2080";;;;
07f0fc3be95dcd878966b1f9572ff670,"2080","My Megadrive","2080";;;;
07f0fc3be95dcd878966b1f9572ff670,"2080","Player One - Feat. Ddash Of Ddamage","2080";;;;
07f0fc3be95dcd878966b1f9572ff670,"2080","Super Easy","2080";;;;
07f0fc3be95dcd878966b1f9572ff670,"2080","The Backup","2080";;;;
07f0fc3be95dcd878966b1f9572ff670,"2080","The Master Key","2080";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Alive","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Along the Busiest of Roads","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Bd08","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Beginning","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Cat","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Chris","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Clark","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Danny","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Death","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Dog","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Door","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Droopy Likes Ricochet","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Droopy Likes Your Face","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Dry Hands","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Excuse","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","From the Window","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Haggstrom","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","I Jike My Lob","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Key","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Living Mice","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Marketing Squander Versus the Little Man","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Mice On Venus","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Minecraft","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Moog City","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","OxygΓ¨ne","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Stilbruch","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Subwoofer Lullaby","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Sweden","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Thirteen","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Timelapse Kingdom","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","United Colors of Scrapyard","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Welcome Back to the Machine","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Wet Hands","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Γ‰quinoxe","C418";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","0x10c - 01","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","0x10c - 02","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Glen Porter","29 Palms","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Makeup And Vanity Set","A Glowing Light, a Promise","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Phaeleh ft. Soundmouse","Afterglow","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Solar Fields","Air Song - 8 am Version","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Bonobo","All In Forms - FaltyDL Remix","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Bonobo","All In Forms - Mike Slott Remix","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Slugabed","All This Time","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Bonobo","Animals","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Emancipator","Anthem (Nym Remix)","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Brian Blade & The Fellowship Band","Ark.La.Tex.","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Boom Bip","Awaiting An Accident - Lali Puna Remix","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Disasterpeace","Beacon","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Little People","Behind Closed Doors (Edit)","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"The Glitch Mob","Between Two Points (feat. Swan)","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Emancipator","Black Lake","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Emancipator","Black Lake (Emancipator Remix)","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Bonobo","Black Sands","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Bonobo","Black Sands - Duke Dumont's 'Grains Of Sand' Reconstruction Edit","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Vangelis","Blade Runner Blues","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Cell","Blue Embers","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Bonobo","Brace Brace","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Emancipator","Bury Them Bones (Marley Carroll Remix)","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Jay Haze","Can't Keep Giving In - Original Mix","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Bonobo","Change Down","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Chris Christodoulou","Chanson d'Automne..","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Prefuse 73","Choking You","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Ben Prunty","Colonial (Explore)","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Retro Family","Credits","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Metaform","Crush","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"I Monster","Daydream In Blue","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Ludique","Der Zauberer","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Edit","Desert Wind (Silence of the night)","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Zero 7","Destiny","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Disasterpeace","Detroit","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Zero 7","Distractions","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"The Glitch Mob","Drive It Like You Stole It","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"C418","Droopy Likes Your Face","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Miles Davis","Duke Booty","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Metaform","Electric Eyes","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Zero 7","Everything Up [Zizou]","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"The National","Exile Vilify (From the Game Portal 2)","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Bonobo","Eyesdown","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Bonobo","Eyesdown - ARP 101 Remix","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Bonobo","Eyesdown - Floating Points Remix","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Bonobo","Eyesdown - Machinedrum Remix","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Emancipator","First Snow (Ooah Remix)","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"DJ Shadow","Fixed Income","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Zero 7","Futures","Chill out";;;;
07f0fc3be95dcd878966b1f9572ff670,"Bonobo","Ghost Ship","Chill out";;;;